|num_files_total|count_moving_mean|count_moving_std|files_size_MB_total|size_moving_mean|size_moving_std
2025-07-05 23:05:00|48|538.5833333333334|692.2358319024768|26.000597|511.5883912499988|758.5702806462297
2025-07-05 23:10:00|53|537.5|693.0523396213035|34.069977|511.8494649999988|758.3903362948625
2025-07-05 23:15:00|41|419.8333333333333|641.430479947809|32.48524|433.7054933333322|755.1718758011034
2025-07-05 23:20:00|63|419.5|641.6315141886471|91.989235|439.33534941666545|752.0888606751148
2025-07-05 23:25:00|1429|418.1666666666667|639.3192165155656|534.36475|472.92979774999884|746.0546945100004
2025-07-05 23:30:00|80|297.0|538.4418597802842|39.2807|396.72619774999885|739.1505189675499
2025-07-05 23:35:00|67|293.5|539.9095042016648|851.9007|458.0285224166655|744.263663441207
2025-07-05 23:40:00|29|173.5|395.645042936233|1150.0123|337.45488074999884|407.0787094883644
2025-07-05 23:45:00|31|170.08333333333334|396.77666223832176|61.959526|326.7584562499988|412.9405519236521
2025-07-05 23:50:00|31|166.58333333333334|397.8945630859347|25.432215|325.67660083333215|413.780805361925
2025-07-05 23:55:00|26|163.41666666666666|398.93505015533265|20.710545|254.1929462499988|382.50559262668503
2025-07-06 00:00:00|82|165.0|398.5377819434152|95.18351|246.94910791666544|384.8109478759378
2025-07-06 00:05:00|35|163.91666666666666|398.90223416804264|41.804638|248.26611133333213|384.01222953324844
2025-07-06 00:10:00|37|162.58333333333334|399.3331847270596|426.9584|281.0068132499988|380.82527896228225
2025-07-06 00:15:00|38|162.33333333333334|399.41715111656646|453.6321|316.10238491666547|375.2045443986339
2025-07-06 00:20:00|33|159.83333333333334|400.1885540440809|1422.3605|426.9666569999988|483.7967851784112
2025-07-06 00:25:00|31|43.333333333333336|20.464307435146928|447.38226|419.71811616666554|482.691749291398
2025-07-06 00:30:00|161|50.083333333333336|38.801261304244676|2022.4929|584.9857994999988|650.8245167334026
2025-07-06 00:35:00|40|47.833333333333336|38.5128864700479|1614.8304|648.5632744999988|713.5143026237693
2025-07-06 00:40:00|35|48.333333333333336|38.28442202396883|1201.1249|652.8226578333321|716.9242876964231
2025-07-06 00:45:00|29|48.166666666666664|38.370995991056986|493.27036|688.7652273333321|695.0879638732537
2025-07-06 00:50:00|38|48.75|38.1388015258813|2025.7052|855.4546427499987|758.5029228358311
2025-07-06 00:55:00|30|49.083333333333336|37.938846326930495|69.11203|859.4880998333321|753.7744595181701
2025-07-06 01:00:00|108|51.25|40.636134837824606|528.29626|895.5808289999987|723.6165233545207
2025-07-06 01:05:00|191|64.25|56.730823752602944|10822.344|1793.9591091666653|2921.4958879919027
2025-07-06 01:10:00|13|62.25|58.183291884852736|485.4264|1798.8314424999987|2919.0565489492897
2025-07-06 01:15:00|146|71.25|62.298584545527504|276.76038|1784.0921324999988|2926.9024050680932
2025-07-06 01:20:00|298|93.33333333333333|88.82703656125899|1718.991|1808.811340833332|2924.821525077158
2025-07-06 01:25:00|285|114.5|101.92109247315844|28.93435|1773.9406816666653|2944.953648269466
2025-07-06 01:30:00|3246|371.5833333333333|910.8085776668611|907.5154|1681.0258899999988|2953.974034420861
2025-07-06 01:35:00|319|394.8333333333333|905.1180569239091|542.698|1591.6815233333318|2972.314802065492
2025-07-06 01:40:00|300|416.9166666666667|898.7509978078589|154.62607|1504.4732874999988|3000.0384647763417
2025-07-06 01:45:00|274|437.3333333333333|891.8943408002606|29.190544|1465.7999694999987|3017.2009755867234
2025-07-06 01:50:00|276|457.1666666666667|884.8251838982785|179.5987|1311.9577611666653|3033.0801886057534
2025-07-06 01:55:00|277|477.75|876.821545542358|29.427185|1308.6506907499986|3034.579762165463
2025-07-06 02:00:00|351|498.0|870.2876222574708|1350.8674|1377.1982857499988|3024.6241179235285
2025-07-06 02:05:00|403|515.6666666666666|865.6283407112091|462.6256|513.8884190833321|548.873236356079
2025-07-06 02:10:00|107|523.5|861.0793966137759|1244.5055|577.1450107499987|587.6652263749444
2025-07-06 02:15:00|183|526.5833333333334|859.6698582313633|1506.7037|679.6402874166655|635.7986853124278
2025-07-06 02:20:00|41|505.1666666666667|869.0324644352713|364.45596|566.7623674166655|548.7865795896187
2025-07-06 02:25:00|28|483.75|878.0713498654662|29.2483|566.7885299166654|548.7586153768217
2025-07-06 02:30:00|40|216.58333333333334|131.92798196082794|19.8526|492.8166299166655|558.3969104022727
2025-07-06 02:35:00|94|197.83333333333334|132.0377586033012|401.56787|481.05578574999885|558.7369344133269
2025-07-06 02:40:00|35|175.75|135.51190823223254|48.191883|472.18627016666545|565.1972592059233
2025-07-06 02:45:00|41|156.33333333333334|136.84053980216132|33.699883|472.56204841666545|564.8773610882108
2025-07-06 02:50:00|30|135.83333333333334|135.7054519795836|48.1543|461.6083484166655|572.3004117869078
2025-07-06 02:55:00|53|117.16666666666667|129.79972918686272|431.5626|495.1196329999987|556.2415669880672
2025-07-06 03:00:00|35|90.83333333333333|108.32596711559104|177.51595|397.3403454999988|491.49954954758914
2025-07-06 03:05:00|3011|308.1666666666667|852.3870048637655|5507.813|817.7726288333321|1556.476171846082
2025-07-06 03:10:00|26|301.4166666666667|854.4430890493861|268.77728|736.4619438333322|1557.6426427759768
2025-07-06 03:15:00|35|289.0833333333333|857.3708710972605|1242.5902|714.4524854999987|1547.6033401303712
2025-07-06 03:20:00|3|285.9166666666667|858.4399654270757|682.418|740.9493221666654|1543.7834496742262
2025-07-06 03:25:00|153|296.3333333333333|855.7800623708932|1505.5363|863.9733221666653|1540.731726432012
2025-07-06 03:30:00|30|295.5|856.05718797924|24.62202|864.370773833332|1540.4947759027302
2025-07-06 03:35:00|14|288.8333333333333|858.0781733124122|272.55988|853.6201079999988|1544.463201389006
2025-07-06 03:40:00|5|286.3333333333333|858.9282257381648|29.137081|852.032207833332|1545.3760873226038
2025-07-06 03:45:00|2|283.0833333333333|860.0140018240098|28.0625|851.5624259166653|1545.6483017924563
2025-07-06 03:50:00|3|280.8333333333333|860.7713066920022|66.91051|853.1254434166653|1544.7712421776903
2025-07-06 03:55:00|2|276.5833333333333|862.1233257416791|28.065567|819.5006906666655|1559.1064217570383
2025-07-06 04:00:00|1374|388.1666666666667|913.1550533809508|39400.188|4088.0566948333326|11227.38020847745
2025-07-06 04:05:00|2|137.41666666666666|391.70221953403836|16.875|3630.478528166665|11276.044635685897
2025-07-06 04:10:00|19|136.83333333333334|391.88839629609896|105.91314|3616.906516499999|11280.555774450271
2025-07-06 04:15:00|13|135.0|392.45914668688124|163.70992|3526.999826499998|11305.471380923635
2025-07-06 04:20:00|39|138.0|391.4948043310345|1948.9154|3632.5412764999987|11282.389943911414
2025-07-06 04:25:00|7|125.83333333333333|393.25098007932087|126.66612|3517.635428166665|11313.001858305823
2025-07-06 04:30:00|8|124.0|393.78928375466626|29.3364|3518.0282931666648|11312.869610614849
2025-07-06 04:35:00|164|136.5|392.3582546602189|2680.1147|3718.6578614999994|11271.352320168227
2025-07-06 04:40:00|2975|384.0|904.4390526729899|884.89734|3789.9712164166654|11248.570908614347
2025-07-06 04:45:00|11|384.75|904.0971513564925|147.86751|3799.9549672499993|11244.98105605603
2025-07-06 04:50:00|4|384.8333333333333|904.0588107713727|15.000021|3795.629093166666|11246.557561917447
2025-07-06 04:55:00|1|384.75|904.0973524611651|13.1875|3794.3892542499993|11247.011473616838
2025-07-06 05:00:00|42|273.75|851.8601170913705|4336.3745|872.4047959166655|1398.4687584255623
2025-07-06 05:05:00|112|282.9166666666667|849.2579068953416|285.5127|894.7912709166654|1385.6196776043698
2025-07-06 05:10:00|180|296.3333333333333|845.9748903788633|52.00609|890.2990167499987|1388.494174282243
2025-07-06 05:15:00|31|297.8333333333333|845.4426310662699|141.6543|888.4610484166654|1389.5575964065808
2025-07-06 05:20:00|2|294.75|846.5391710853271|28.0625|728.3899734166654|1366.742068262704
2025-07-06 05:25:00|3|294.4166666666667|846.6635543369272|447.40054|755.1178417499988|1357.0065187531054
2025-07-06 05:30:00|78|300.25|844.7497881298752|4639.746|1139.318641749999|1733.3201923516908
2025-07-06 05:35:00|2|286.75|848.4116844808603|42.09375|919.4835625833321|1686.8019285275145
2025-07-06 05:40:00|180|53.833333333333336|68.44484618807667|4001.6526|1179.2131675833323|1906.6239645171383
2025-07-06 05:45:00|53|57.333333333333336|67.11636209314831|5022.596|1585.440541749999|2168.2635268303916
2025-07-06 05:50:00|0|57.0|67.41459243175623|28.250044|1586.544710333332|2167.3942907309206
2025-07-06 05:55:00|32|59.583333333333336|65.64430091361167|237.6739|1605.2519103333323|2153.5040824855714
2025-07-06 06:00:00|78|62.583333333333336|65.5902685872372|82.88013|1250.7940461666653|2008.2620001618482
2025-07-06 06:05:00|30|55.75|64.2312937042499|260.2691|1248.690412833332|2009.3779535576195
2025-07-06 06:10:00|2009|208.16666666666666|569.3983800043069|351.91406|1273.6827436666656|1994.95400771678
2025-07-06 06:15:00|2983|454.1666666666667|977.4028510974118|1512.1262|1387.888735333332|1963.2326589342085
2025-07-06 06:20:00|237|473.75|969.8446103277754|31.48856|1388.1742403333321|1963.0171645466141
2025-07-06 06:25:00|39|476.75|968.3105366846743|4576.358|1732.2540286666654|2137.257588436858
2025-07-06 06:30:00|9|471.0|971.0945090229693|793.6109|1411.7427703333321|1940.978707008038
2025-07-06 06:35:00|36|473.8333333333333|969.6502493479918|1360.0771|1521.5747161666657|1893.1300675271548
2025-07-06 06:40:00|2|459.0|975.8952067437726|28.0625|1190.442207833332|1762.9356599250048
2025-07-06 06:45:00|25|456.6666666666667|976.9870505639843|896.6277|846.6115161666654|1285.218527410788
2025-07-06 06:50:00|185|472.0833333333333|970.5643586297823|1666.1996|983.1073124999988|1277.3583961453874
2025-07-06 06:55:00|67|475.0|969.1732184046068|1030.5381|1049.1793291666654|1255.6158128666648
2025-07-06 07:00:00|1501|593.5833333333334|1002.6595051827668|11588.685|2007.9964016666654|3253.7777382010113
2025-07-06 07:05:00|95|599.0|999.5086974927501|483.27805|2026.580480833332|3243.5087087439147
2025-07-06 07:10:00|203|448.5|898.792472760495|372.33826|2028.2824974999987|3242.555265141505
2025-07-06 07:15:00|246|220.41666666666666|413.31903995326996|156.7335|1915.3331058333322|3285.49150423115
2025-07-06 07:20:00|60|205.66666666666666|415.82411783073724|338.93567|1940.9536983333319|3270.6307466998283
2025-07-06 07:25:00|88|209.75|414.27639543931986|2566.984|1773.5058649999985|3173.4319402952433
2025-07-06 07:30:00|68|214.66666666666666|412.0212557035488|335.40192|1735.321783333332|3189.012751216359
2025-07-06 07:35:00|86|218.83333333333334|410.2994102611166|1594.3506|1754.844574999999|3187.2233032282443
2025-07-06 07:40:00|76|225.0|407.28926508632594|1973.7968|1916.9890999999989|3140.5412071154847
2025-07-06 07:45:00|1476|345.9166666666667|537.1880419594777|5252.77|2280.000958333332|3261.315341506493
2025-07-06 07:50:00|4433|699.9166666666666|1291.5404796622051|998.18286|2224.3328966666654|3278.4014072389286
2025-07-06 07:55:00|90|701.8333333333334|1290.5325069579494|152.81142|2151.189006666665|3317.021233862736
2025-07-06 08:00:00|310|602.5833333333334|1269.104011665025|3378.6196|1467.016889999999|1591.2283973949443
2025-07-06 08:05:00|1484|718.3333333333334|1281.8790421829578|961.0199|1506.8287108333323|1570.2158802089675
2025-07-06 08:10:00|1481|824.8333333333334|1288.2453770594989|315.0611|1502.0556141666655|1574.060328081561
2025-07-06 08:15:00|1434|923.8333333333334|1285.363820680811|39409.098|4773.085989166665|11012.359252474924
2025-07-06 08:20:00|1477|1041.9166666666667|1263.6967025598458|2496.0654|4952.846799999998|10950.832204500826
2025-07-06 08:25:00|1456|1155.9166666666667|1231.103677661446|118.592186|4748.814148833332|11021.90426618372
